test,itlb,dtlb,stlb
1,123,15216,169
2,131,14604,172
3,142,12710,168
4,132,7776,169
5,132,9410,169
6,124,359,174
7,126,374,170
8,135,8590,173
9,144,356,171
10,120,362,171
11,153,24438,172
12,128,564,174
13,140,20074,168
14,129,8126,170
15,150,10792,172
16,132,364,173
17,149,18017,172
18,126,19194,171
19,127,22656,171
20,133,360,169
21,127,11014,169
22,131,2900,172
23,136,13058,171
24,133,1950,170
25,139,12710,174
26,145,369,179
27,139,15258,169
28,126,8934,167
29,128,17032,172
30,131,12760,169
31,130,18268,170
32,128,5300,171
33,144,17420,171
34,135,12484,172
35,142,16526,173
36,137,18542,171
37,135,24102,172
38,139,9656,172
39,128,1938,174
40,125,19946,171
41,122,3225,170
42,140,12892,170
43,122,11066,170
44,128,21967,173
45,146,17390,173
46,125,2288,171
47,134,10352,169
48,128,18194,171
49,134,19976,172
50,129,24586,173
51,135,4760,172
52,132,20640,170
53,130,19880,169
54,140,3968,171
55,129,6128,174
56,140,14050,169
57,130,8414,170
58,124,19122,169
59,135,1142,173
60,141,14908,181
61,127,7726,169
62,136,10298,171
63,144,16898,170
64,132,20724,171
65,126,18538,171
66,144,22534,172
67,126,14010,169
68,124,12993,170
69,125,7020,173
70,143,2222,172
71,142,19264,172
72,134,17320,171
73,127,18842,171
74,123,3024,170
75,133,13530,169
76,130,10094,173
77,131,12952,177
78,146,24702,172
79,133,20138,173
80,140,15416,170
81,127,2040,174
82,138,5514,182
83,145,4496,170
84,124,10664,172
85,140,10712,170
86,138,11946,173
87,130,4453,172
88,149,21840,170
89,126,3384,173
90,142,2002,172
91,127,17190,172
92,134,11188,169
93,139,7932,173
94,137,5007,176
95,134,26464,172
96,125,16046,168
97,129,22234,172
98,130,11404,170
99,143,12266,171
100,154,20008,173
